City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Mindelo,CV,76.55,scattered clouds,16.8901,-24.9804,Hotel Gaudi
13,Atuona,PF,78.06,scattered clouds,-9.8,-139.0333,Villa Enata
21,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
23,Medea,DZ,76.23,overcast clouds,36.2642,2.7539,Hôtel M'Sallah
25,Cabo San Lucas,MX,86.18,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
26,Butaritari,KI,82.71,few clouds,3.0707,172.7902,Isles Sunset Lodge
27,The Valley,AI,82.26,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
33,Ahuimanu,US,85.14,clear sky,21.4447,-157.8378,Paradise Bay Resort
38,Hilo,US,82.26,very heavy rain,19.7297,-155.09,Hilo Hawaiian Hotel
39,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
44,Marsh Harbour,BS,80.8,clear sky,26.5412,-77.0636,Abaco Beach Resort
47,Avarua,CK,80.65,overcast clouds,-21.2078,-159.775,Paradise Inn
52,Wenling,CN,78.49,broken clouds,28.3669,121.36,Hanting Express Wenling Wanchang North Road
53,San Policarpo,PH,81.21,moderate rain,12.1791,125.5072,Agapita M. Nicart
58,Vanimo,PG,84.51,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
63,Ajdabiya,LY,75.83,clear sky,30.7554,20.2263,Almadina Hotel
64,Kapaa,US,84.18,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
68,Bilma,NE,89.82,clear sky,18.6853,12.9164,Expeditions Ténére voyages
70,Kavieng,PG,84.24,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
71,Lompoc,US,87.78,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
73,Shimoda,JP,80.1,heavy intensity rain,34.6667,138.95,Shimoda Tokyu Hotel
74,Gorontalo,ID,84.36,few clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
76,Benicarlo,ES,75.25,broken clouds,40.4165,0.4271,Hotel & Spa Peñíscola Plaza Suites
77,Sinnamary,GF,77.74,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
86,Bose,IT,75.2,clear sky,45.4612,8.0137,Locanda Borgo Antico
88,Korla,CN,79.12,overcast clouds,41.7597,86.1469,Gulisitan Hotel
94,Nioro,GM,79.14,overcast clouds,13.35,-15.75,
115,Ternate,ID,82.9,clear sky,0.8,127.4,Sahid Bela Ternate Hotel
116,Jacareacanga,BR,75.6,few clouds,-6.2222,-57.7528,Casa do Ian😎
122,Faanui,PF,80.11,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
123,Labuhan,ID,80.33,overcast clouds,-6.8844,112.2051,DoubleFAG
124,Tautira,PF,79.39,light rain,-17.7333,-149.15,Pension Oaoa
132,Kashan,IR,81.52,clear sky,33.9831,51.4364,Manouchehri Traditional House
138,Victoria,HK,85.32,overcast clouds,22.2855,114.1577,Mini Central
150,Dingle,PH,81.84,light rain,10.9995,122.6711,SEGAYA PROPERTY
154,Bathsheba,BB,79.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
157,Riyadh,SA,87.94,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
159,Flagstaff,US,81.52,clear sky,35.1981,-111.6513,Drury Inn & Suites Flagstaff
160,Hithadhoo,MV,82.8,broken clouds,-0.6,73.0833,Scoop Guest House
170,Katsuura,JP,75.22,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
173,Songjianghe,CN,75.42,overcast clouds,42.1859,127.479,Sijisheng Fashion Guest House
174,Adrar,MR,77.54,overcast clouds,20.5022,-10.0711,
177,Sokoni,TZ,78.37,light rain,-6.4333,39.55,Ujamaa Beach Resort
182,Tekkali,IN,81.07,overcast clouds,18.6167,84.2333,Spoorthi function hall
185,Liloy,PH,81.37,moderate rain,8.1144,122.6594,LILOY HOME STAY
192,Gushi,CN,89.17,overcast clouds,34.6425,109.5843,Wansheng Yuan Hotel
193,Acapulco,MX,79.97,moderate rain,16.8634,-99.8901,HS Hotsson Smart Acapulco
195,Dhidhdhoo,MV,82.58,overcast clouds,6.8833,73.1,Dhidhoo beach
197,Marsassoum,SN,78.84,overcast clouds,12.8275,-15.9806,Djinoubor keur Samba ba
202,Jalu,LY,80.46,clear sky,29.0331,21.5482,صاحبة الفخامة
204,Champerico,GT,78.94,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
207,Bengkulu,ID,76.71,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
211,Auki,SB,84.69,broken clouds,-8.7676,160.7034,Auki Motel
212,Bubaque,GW,80.1,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
215,Latung,PH,81.95,broken clouds,5.5,120.8833,
220,Balabac,PH,83.82,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
229,Sumenep,ID,82.31,overcast clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
238,Avenal,US,89.37,clear sky,36.0041,-120.12899999999999,Lodge House Inn The
241,Naze,JP,78.87,broken clouds,28.3667,129.4833,Shishime Hotel
242,Kahului,US,87.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
244,Gushikawa,JP,87.39,scattered clouds,26.3544,127.8686,Kirari Guest House
245,Cayenne,GF,78.1,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
247,Dwarka,IN,83.84,scattered clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
251,Labuan,MY,80.74,scattered clouds,5.2767,115.2417,Tiara Labuan Hotel
252,Nieuw Nickerie,SR,77.31,scattered clouds,5.95,-56.9833,Ishwardat Inn
254,Thaton,MM,78.75,broken clouds,16.9206,97.3714,"Shwe Pyi Soe Guest House, Thaton"
258,Luxor,EG,82.76,clear sky,25.6989,32.6421,Iberotel Luxor
