City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Kavaratti,10.5669,72.642,83.39,79,100,19.28,IN,2022-06-21 17:06:38
1,Avarua,-21.2078,-159.775,78.85,89,75,8.05,CK,2022-06-21 17:06:38
2,Tuatapere,-46.1333,167.6833,36.88,82,0,4.34,NZ,2022-06-21 17:06:38
3,New Norfolk,-42.7826,147.0587,43.88,85,47,1.01,AU,2022-06-21 17:06:39
4,Hobart,-42.8794,147.3294,44.22,87,33,8.05,AU,2022-06-21 17:02:39
5,Lagoa,39.05,-27.9833,63.64,81,67,19.57,PT,2022-06-21 17:06:39
6,Alyangula,-13.8483,136.4192,73.06,80,86,13.49,AU,2022-06-21 17:06:39
7,Punta Arenas,-53.15,-70.9167,41.11,70,84,15.5,CL,2022-06-21 17:02:29
8,Arraial Do Cabo,-22.9661,-42.0278,76.86,73,0,16.11,BR,2022-06-21 17:06:40
9,Hermanus,-34.4187,19.2345,57.79,82,100,10.09,ZA,2022-06-21 17:06:40
10,Busselton,-33.65,115.3333,64.04,83,95,11.07,AU,2022-06-21 17:06:40
11,Saint Anthony,45.0205,-93.218,84.11,60,20,18.41,US,2022-06-21 17:06:41
12,Atuona,-9.8,-139.0333,78.06,76,88,24.11,PF,2022-06-21 17:06:41
13,Khatanga,71.9667,102.5,46.02,79,100,10.67,RU,2022-06-21 17:06:41
14,Arcachon,44.5875,-1.0519,82.42,60,0,8.05,FR,2022-06-21 17:06:42
15,Cidreira,-30.1811,-50.2056,64.98,82,100,3.51,BR,2022-06-21 17:06:42
16,Te Anau,-45.4167,167.7167,29.84,91,39,1.14,NZ,2022-06-21 17:06:42
17,Limon,10.0,-83.0333,84.09,74,75,8.05,CR,2022-06-21 17:06:43
18,Ust-Tsilma,65.441,52.1498,60.93,56,100,11.1,RU,2022-06-21 17:06:43
19,Tiksi,71.6872,128.8694,44.22,88,100,8.16,RU,2022-06-21 17:06:43
20,Lebu,-37.6167,-73.65,53.83,78,100,2.77,CL,2022-06-21 17:03:12
21,Alim,9.5649,122.4876,79.32,81,100,3.27,PH,2022-06-21 17:06:44
22,Sabha,27.0377,14.4283,101.52,9,0,6.42,LY,2022-06-21 17:06:44
23,Mar Del Plata,-38.0023,-57.5575,52.95,56,40,16.11,AR,2022-06-21 17:05:23
24,Port Keats,-14.25,129.55,70.21,30,17,11.21,AU,2022-06-21 17:06:45
25,Westport,41.1415,-73.3579,79.09,57,40,8.05,US,2022-06-21 17:06:45
26,Rikitea,-23.1203,-134.9692,72.79,63,50,8.57,PF,2022-06-21 17:06:45
27,Plana,49.8682,12.7438,74.61,32,53,4.79,CZ,2022-06-21 17:06:46
28,Ushuaia,-54.8,-68.3,38.86,65,75,27.63,AR,2022-06-21 17:06:46
29,Provideniya,64.3833,-173.3,39.87,97,100,5.1,RU,2022-06-21 17:06:46
30,Kokopo,-4.352,152.2633,76.75,84,42,6.6,PG,2022-06-21 17:06:47
31,Tarakan,3.3,117.6333,78.3,89,100,6.91,ID,2022-06-21 17:06:47
32,Hovd,48.0056,91.6419,70.36,28,29,5.55,MN,2022-06-21 17:06:47
33,Mataura,-46.1927,168.8643,28.47,90,0,2.37,NZ,2022-06-21 17:06:48
